book_id,book_title,language,speaker_id,section_id,section_number,section_title,playtime,audio_link,file_id
14809,"Living Animals of the World, Volume 1: Mammals",English,8425,486750,1,Introduction,672,https://www.archive.org/download/living_animals_of_the_world_1_mammals_2010_librivox/livinganimals1_00_various.mp3,livinganimals1_00_various
14810,"Great Epochs in American History, Volume II",English,10244,486820,1,Introduction,503,https://www.archive.org/download/great_epochs_ii_2007_librivox/greatepochs_vol2_00_halsey.mp3,greatepochs_vol2_00_halsey
14811,Workhouse Characters,English,6836,486851,1,Preface,176,https://www.archive.org/download/workhousecharacters_2003_librivox/workhousecharacters_00_nevinson.mp3,workhousecharacters_00_nevinson
14816,Pascendi Dominici Gregis (On the Errors of the Modernists),English,4705,487065,1,Introduction,623,https://www.archive.org/download/pascendi_2003_librivox/pascendi_00_piusx.mp3,pascendi_00_piusx
14817,Short Story Collection Vol. 085,English,13852,487082,1,The Colonel Abroad by Anna Cora Mowatt,1675,https://www.archive.org/download/ss_085_2003_librivox/ss085_01_various.mp3,ss085_01_various
14820,"Harper's Young People, Vol. 01, Issue 21, March 23, 1880",English,10244,487237,1,A Duet; Easter Flowers,613,https://www.archive.org/download/hyp01_021_2004_librivox/hyp021_01_various.mp3,hyp021_01_various
14821,At the Closed Gate of Justice,English,8786,487249,1,At The Closed gate Of Justice - Read by BK,121,https://www.archive.org/download/attheclosedgateofjustice_2002.poem_librivox/closedgate_corrothers_bk.mp3,closedgate_corrothers_bk
14822,Poems of the Great War,English,8786,487266,1,Duty,44,https://www.archive.org/download/poemsofwar_2003_librivox/poemsofthegreatwar_01_various.mp3,poemsofthegreatwar_01_various
14823,"Frauds, Forgeries, and Fake News Collection",English,11715,487297,1,"Excerpt from ""Awful Disclosures of the Hotel Dieu Nunnery of Montreal""",798,https://www.archive.org/download/frauds_forgeries_fake_news_2101_librivox/fffn01_awfuldisclosures_monk_cm.mp3,fffn01_awfuldisclosures_monk_cm
14826,National Geographic Magazine Vol. 09 - 01. January 1898,English,4174,487330,1,"Three Weeks in Hubbard Bay, West Greenland",1422,https://www.archive.org/download/ngm09_01_2003_librivox/ngm09_01_01.mp3,ngm09_01_01
14827,Mountains in the Mist,English,8425,487337,1,By Way of Introduction,119,https://www.archive.org/download/mountainsinthemist_2008_librivox/mountainsinthemist_01_boreham.mp3,mountainsinthemist_01_boreham
14828,Jacko and Jumpo Kinkytail,English,11555,487366,1,The Kinkytails Go To School,736,https://www.archive.org/download/jacko_and_jumpo_2007_librivox/jackoandjumpo_01_garis.mp3,jackoandjumpo_01_garis
14832,Master's Violin,English,6415,487491,1,The Master Plays,1170,https://www.archive.org/download/masters_violin_2201_librivox/themastersviolin_01_reed.mp3,themastersviolin_01_reed
14833,Private Memoirs and Confessions of a Justified Sinner,English,13579,487512,1,Section 1,1145,https://www.archive.org/download/justified_sinner_2005_librivox/justifiedsinner_01_hogg.mp3,justifiedsinner_01_hogg
14834,American Notes (Version 2),English,9905,487529,1,Dedication and Prefaces,250,https://www.archive.org/download/american_notes_ver_2_bf_2006_librivox/americannotes_00_dickens.mp3,americannotes_00_dickens
14835,Tales from Ariosto,English,13278,488528,1,Introduction,1748,https://www.archive.org/download/tales_from_ariosto_2103_librivox/talesfromariosto_00_nicholson.mp3,talesfromariosto_00_nicholson
14836,Crock of Gold,English,8463,487547,1,"Ch 1, Book I: THE COMING OF PAN",582,https://www.archive.org/download/crock_of_gold_2103_librivox/crockofgold_01_stephens.mp3,crockofgold_01_stephens
14837,1001 Questions and Answers on English Grammar,English,12980,487567,1,Introduction,180,https://www.archive.org/download/1001_questions_grammar_2009_librivox/1001grammar_01_hathaway.mp3,1001grammar_01_hathaway
14838,Forest Days: A Romance of Old Times,English,7756,487596,1,I,466,https://www.archive.org/download/forest_days_2008_librivox/forestdays_01_james.mp3,forestdays_01_james
14839,Foundations of Geometry,English,13923,487640,1,"Preface, Contents, and Introduction",704,https://www.archive.org/download/foundations_of_geometry_2112_librivox/foundationsofgeometry_00_hilbert.mp3,foundationsofgeometry_00_hilbert
14840,Teddy's Button (Version 3),English,13798,487684,1,An Antagonist,704,https://www.archive.org/download/teddysbutton_2005_librivox/teddysbutton_01_lefeuvre.mp3,teddysbutton_01_lefeuvre
14841,Natural Theology,English,12708,487694,1,Dedication and Chapter 1: State of the Argument,726,https://www.archive.org/download/naturaltheology_2008_librivox/naturaltheology_01_paley.mp3,naturaltheology_01_paley
14843,Spirit of Bambatse,English,6097,487739,1,Author's note,179,https://www.archive.org/download/spirit_bambatse_2004_librivox/bambatse_00_haggard.mp3,bambatse_00_haggard
14844,Short Poetry Collection 202,English,8786,489259,1,After the Resurrection,174,https://www.archive.org/download/spc202_2004_librivox/spc202_aftertheresurrection_bk.mp3,spc202_aftertheresurrection_bk
14845,"Children's Short Works, Vol. 043",English,15676,487791,1,The Ant and the Dove,113,https://www.archive.org/download/childrensshortworks043_2101_librivox/csw043_antanddove_gp.mp3,csw043_antanddove_gp
14846,"Don, a Runaway Dog: His Many Adventures",English,5703,487794,1,Don Falls In,918,https://www.archive.org/download/donarunawaydog_2004_librivox/donarunawaydog_01_barnum.mp3,donarunawaydog_01_barnum
14849,Inn of Dreams,English,11535,487851,1,Dedication (Comtesse de Noailles),109,https://www.archive.org/download/inn_of_dreams_2004_librivox/innofdreams_01_custance.mp3,innofdreams_01_custance
14850,Rainbows,English,11535,487891,1,Rainbows,52,https://www.archive.org/download/rainbows_2003_librivox/rainbows_01_custance.mp3,rainbows_01_custance
14852,Observations Upon the Apocalypse of St. John,English,13830,487953,1,Introduction,1766,https://www.archive.org/download/observations_upon_the_apocalypse_2004_librivox/observationsapocalypse_01_newton.mp3,observationsapocalypse_01_newton
14853,Ladder of Rickety Rungs,English,10955,487956,1,"Blink, the Nod King",389,https://www.archive.org/download/theladderofricketyrungs_2004_librivox/ladderofricketyrungs_01_odonnell.mp3,ladderofricketyrungs_01_odonnell
14856,Fortune Hunter: A Novel of New York Society,English,13852,488033,1,Chapter I,2311,https://www.archive.org/download/fortune_hunter_2003_librivox/fortunehunter_01_mowatt.mp3,fortunehunter_01_mowatt
14857,End Of The Day,English,4705,488062,1,The End Of The Day - Read by ALP,76,https://www.archive.org/download/end_of_the_day_2003.poem_librivox/endoftheday_scott_alp.mp3,endoftheday_scott_alp
