book_id,book_title,language,speaker_id,section_id,section_number,section_title,playtime,audio_link,file_id,source_url,original_path,duration,recording_date
21393,Family Well-Ordered,English,14684,669014,5,"An Address, Ad Fratres in Eremo",369,https://www.archive.org/download/familywellordered_2502_librivox/familywellordered_05_mather.mp3,familywellordered_05_mather
21390,Salad,English,13577,668962,1,Salad - Read by APS,109,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_aps.mp3,salad_smith_aps
21390,Salad,English,14624,668968,2,Salad - Read by BC,81,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_bc.mp3,salad_smith_bc
21390,Salad,English,8786,668956,3,Salad - Read by BL,84,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_bk.mp3,salad_smith_bk
21390,Salad,English,17576,669207,4,Salad - Read by BWC,79,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_bwc.mp3,salad_smith_bwc
21390,Salad,English,11305,668966,5,Salad - Read by CF,83,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_cf.mp3,salad_smith_cf
21390,Salad,English,18756,668957,6,Salad - Read by CL,94,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_cl.mp3,salad_smith_cl
21390,Salad,English,16764,668952,7,Salad - Read by DC,76,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_dc.mp3,salad_smith_dc
21390,Salad,English,2911,668954,8,Salad - Read by DL,91,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_dl.mp3,salad_smith_dl
21390,Salad,English,9872,668960,9,Salad - Read by EL0,94,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_el0.mp3,salad_smith_el0
21390,Salad,English,6735,668969,10,Salad - Read by FS,85,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_fs.mp3,salad_smith_fs
21390,Salad,English,18761,668964,11,Salad - Read by GLL,99,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_gll.mp3,salad_smith_gll
21390,Salad,English,4969,668963,12,Salad - Read by GLN,90,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_gln.mp3,salad_smith_gln
21390,Salad,English,19980,668967,13,Salad - Read by GYSZ,94,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_gysz.mp3,salad_smith_gysz
21390,Salad,English,17662,668961,14,Salad - Read by IKL,67,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_ikl.mp3,salad_smith_ikl
21390,Salad,English,13278,668951,15,Salad - Read by KS,84,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_ks.mp3,salad_smith_ks
21390,Salad,English,1212,668950,16,Salad - Read by LAH,79,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_lah.mp3,salad_smith_lah
21390,Salad,English,8425,668955,17,Salad - Read by LCW,81,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_lcw.mp3,salad_smith_lcw
21390,Salad,English,15365,668959,18,Salad - Read by LS,89,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_ls.mp3,salad_smith_ls
21390,Salad,English,19970,668958,19,Salad - Read by MO,80,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_mo.mp3,salad_smith_mo
21390,Salad,English,8576,668965,20,Salad - Read by PFS,81,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_pfs.mp3,salad_smith_pfs
21390,Salad,English,17334,669208,21,Salad - Read by SLM,74,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_slm.mp3,salad_smith_slm
21390,Salad,English,19584,668953,22,Salad - Read by SP,73,https://www.archive.org/download/salad_2502.poem_librivox/salad_smith_sp.mp3,salad_smith_sp
