segment_file,original_file,segment_index,duration
autobiographyoflorddouglas_06_douglas_0014.mp3,autobiographyoflorddouglas_06_douglas,14,29.95045351473923
sacrifice_11_bavnick_0013.mp3,sacrifice_11_bavnick,13,28.174126984126985
autobiographyoflorddouglas_06_douglas_0013.mp3,autobiographyoflorddouglas_06_douglas,13,24.177392290249433
sacrifice_11_bavnick_0012.mp3,sacrifice_11_bavnick,12,26.032086167800454
sacrifice_11_bavnick_0014.mp3,sacrifice_11_bavnick,14,26.37167800453515
sacrifice_11_bavnick_0015.mp3,sacrifice_11_bavnick,15,25.091678004535147
sacrifice_11_bavnick_0016.mp3,sacrifice_11_bavnick,16,26.345555555555556
autobiographyoflorddouglas_06_douglas_0015.mp3,autobiographyoflorddouglas_06_douglas,15,29.4018820861678
autobiographyoflorddouglas_06_douglas_0018.mp3,autobiographyoflorddouglas_06_douglas,18,19.344739229024942
autobiographyoflorddouglas_06_douglas_0016.mp3,autobiographyoflorddouglas_06_douglas,16,30.00269841269841
sacrifice_11_bavnick_0017.mp3,sacrifice_11_bavnick,17,20.88596371882086
familywellordered_05_mather_0000.mp3,familywellordered_05_mather,0,26.08433106575964
sacrifice_11_bavnick_0018.mp3,sacrifice_11_bavnick,18,16.784739229024943
salad_smith_ks_0000.mp3,salad_smith_ks,0,28.435351473922903
autobiographyoflorddouglas_06_douglas_0017.mp3,autobiographyoflorddouglas_06_douglas,17,18.29984126984127
restingwheel_wordsworth_bk_0000.mp3,restingwheel_wordsworth_bk,0,25.43126984126984
sacrifice_11_bavnick_0019.mp3,sacrifice_11_bavnick,19,29.66310657596372
familywellordered_05_mather_0001.mp3,familywellordered_05_mather,1,26.580657596371882
restingwheel_wordsworth_bk_0001.mp3,restingwheel_wordsworth_bk,1,26.502290249433106
familywellordered_05_mather_0002.mp3,familywellordered_05_mather,2,30.00269841269841
familywellordered_05_mather_0004.mp3,familywellordered_05_mather,4,29.976575963718822
familywellordered_05_mather_0007.mp3,familywellordered_05_mather,7,16.02718820861678
restingwheel_wordsworth_bk_0002.mp3,restingwheel_wordsworth_bk,2,19.344739229024942
familywellordered_05_mather_0008.mp3,familywellordered_05_mather,8,22.61004535147392
familywellordered_05_mather_0003.mp3,familywellordered_05_mather,3,18.40433106575964
familywellordered_05_mather_0010.mp3,familywellordered_05_mather,10,28.80106575963719
familywellordered_05_mather_0006.mp3,familywellordered_05_mather,6,24.56922902494331
familywellordered_05_mather_0011.mp3,familywellordered_05_mather,11,30.00269841269841
familywellordered_05_mather_0012.mp3,familywellordered_05_mather,12,18.926780045351475
salad_smith_dc_0001.mp3,salad_smith_dc,1,29.14065759637188
restingwheel_wordsworth_vod_0000.mp3,restingwheel_wordsworth_vod,0,25.744739229024944
familywellordered_05_mather_0005.mp3,familywellordered_05_mather,5,16.523514739229025
salad_smith_dc_0000.mp3,salad_smith_dc,0,30.00269841269841
salad_smith_ks_0002.mp3,salad_smith_ks,2,18.848412698412698
familywellordered_05_mather_0009.mp3,familywellordered_05_mather,9,30.00269841269841
restingwheel_wordsworth_vod_0001.mp3,restingwheel_wordsworth_vod,1,29.976575963718822
salad_smith_ks_0001.mp3,salad_smith_ks,1,28.748820861678006
familywellordered_01_mather_0000.mp3,familywellordered_01_mather,0,28.40922902494331
familywellordered_01_mather_0002.mp3,familywellordered_01_mather,2,21.356167800453516
familywellordered_01_mather_0003.mp3,familywellordered_01_mather,3,15.765963718820862
familywellordered_01_mather_0001.mp3,familywellordered_01_mather,1,26.528412698412698
